ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
415,   Weingut Metzger   2020 Hauswein Rosé Literflasche ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rosé ,2020," Acolon, Blauer Portugieser ", Qualitätswein , 11.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , Stelvin-Drehverschluß ,,, 2022+ ," Apéritif, Salat ", 6.3 , 9.0 ,,,,,, nicht erforderlich ,,,1,
416,   Château Miraval   2020 Côtes de Provence Rosé ," Château Miraval, Miraval, 83570 Correns, Frankreich ", Frankreich , Provence , Rosé ,2020," Cinsault, Grenache, Rolle/Vermentino, Syrah ", AOC , 13 , trocken , Enthält Sulfite ," Tank, Barriquefaß ", 10 - 12 , Naturkork ,"Sonnige Terrassenlagen in 350 m ü.d.Meer mit einzigartigen Natursteinmauern. Die Trauben für den Rosé stammen aus den besten Parzellen der Domaine (Muriers, Longue, Romarin) und aus Weinbergen in nächster Nähe zum Dorf Correns","Tonerde und Kalk mit perfekter Drainage und großer Kapazität, Wasser zu speichern.", 2023+ ,,,, Wein Direktimport ,"Der Syrah wurde nach der Méthode Saignée als Saftabzug der Rotweinmaische gewonnen, die anderen Traubensorten wurden direkt gepresst. Ca. 5% der Cuvée reifte in Barriques aus französischer Eiche mit regelmäßiger Bâtonnage (=Aufrühren des Hefesatzes).",,,,," Der 2020 Côtes de Provence Rosé ist eine Mischung aus 50% Grenache, 30% Cinsault, 10% Syrah und 10% Rolle. In der Nase mit feinen Rosenblüten- und Melonenaromen, roten Johannisbeeren, etwas Zitrone. Am Gaumen saftig und mittelkräftig, dabei elegant und intensiv mit feiner salziger Mineralik. Die feine, dennoch pikante und anregende Säure unterstützt den überraschend kraftvollen, langen Nachhall.",,1,
417,   Château Miraval   2020 Studio by Miraval Rosé Mediterranée IGP ," Château Miraval, Miraval, 83570 Correns, Frankreich ", Frankreich , Provence , Rosé ,2020," Cinsault, Grenache, Rolle/Vermentino, Tibouren ", Méditerranée IGP , 12.5 , trocken , Enthält Sulfite ," Betonei, Holzfaß ", 8 - 12 , Stelvin-Drehverschluß ,,, 2022+ ," Apéritif, Fisch vom Grill, Geflügel vom Grill, leichten Sommerküche ",,, Wein Direktimport ,Gärung und Ausbau im Edelstahltank und Betonei.,,,,," Der zartrosafarbene 2020 Rosé Studio by Miraval duftet so, wie man es von einem Rosé aus der Provence erwartet: Fast schon explosiv nach frischen Erdbeeren und roten Johannisbeeren, begleitet von frischer Zitrusfrucht, floralen Aromen und ganz feinen kräuterigen Aromen. Am Gaumen startet er überraschend würzig, zu den genannten Aromen kommen noch Grapefruitzeste und die feinen Aromen weißer Blüten dazu. Der Wein ist komplett durchgegoren, die sanfte Säure erhält durch eine feine, leicht salzige Mineralik Unterstützung.",,1,
418,"   Le Clos du Caillou, Bioweingut   2020 Côtes du Rhône Rosé 'Le Caillou' "," Le Clos du Caillou, Bioweingut, Le Clos du Caillou, Earl Pouizin-Vacheron, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rosé ,2020," Cinsault, Grenache Noir, Mourvèdre/Monastrell ", AOC , 12.5 , trocken , Enthält Sulfite ,, 10 - 14 , Naturkork ,,, 2025+ ," Apéritif, gebratenem Tintenfisch, Lammfilet vom Grill, Salat mit Brunnenkresse, Tomatentarte ",,, Wein Direktimport ,,, Certifié Agriculture Biologique AB ,FR-BIO-10,,,,1,
419,   Weingut Metzger   2020 Blanc de Noir trocken -B- ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rosé ,2020, Blauer Spätburgunder/Pinot Noir/Pinot Nero , Qualitätswein , 12.0 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , Stelvin-Drehverschluß ,,, bis 2024 ," Apéritif, Fisch, pochiert, Poularde ", 5.4 , 7.6 ,,,,,,," Der 2020 Blanc de Noir duftet nach frischem gelbem Apfel, saftiger Aprikose, weißen Blüten und frischen Zitrusfrüchten. Am Gaumen ist er anregend und saftig, die frische mittlere Säure ist der perfekte Gegenpol zur leicht betonten Süße und der dezenten, leicht salzigen Mineralik.  ",,1,
420,   Azienda Agricola Valentini   2018 Cerasuolo d'Abruzzo DOC ," Azienda Agricola Valentini, Via del Baio, 2, 65014 Loreto Aprutino PE, Italien ", Italien , Abruzzen , Rosé ,2018, Montepulciano d'Abruzzo , DOC , 14 , trocken , Enthält Sulfite , großes Holzfaß , 10 - 14 , Naturkork ,,, bis 2025 ,,,, Antonio Galloni Vinous ,12 Monate Reife in Barriques aus französischer Allier-Eiche,"Als Solist, vielseitig einsetzbar zu Pasta, Grill- und Wildgerichten",,,,,,1,
421,   Weingut Metzger   2019 Grand Hog Rosé trocken -A- ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rosé ,2018,, Qualitätswein , 13 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , Stelvin-Drehverschluß ,,, bis 2022 ," Fisch, pochiert, Geflügel, Käse, frisch, Ziegenmilch, Salat ",,,,,,,,,,,1,
422,   Weingut Weedenborn   2021 Sauvignon Blanc trocken ," Weingut Weedenborn, Weingut Weedenborn, Am Römer 4-6, 55234 Monzernheim ", Deutschland , Rheinhessen , Weißwein ,2020, Sauvignon Blanc , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 -10 , 2024+ , etwa 30 Minuten , Stelvin-Drehverschluß , 6.6 , 4.3 ,"Monzernheim, Westhofen und Bechtheim.",Kalkmergel und Löß,Edelstahltank,,,,,,,,1," Der 2021 Sauvignon Blanc trocken hat eine feine und sehr typische Nase mit den klassischen Aromen: Stachelbeere, viel reife Zitrusfrucht, Holunderblüten, etwas Grapefruit und Kräuterwürze.Am Gaumen kommen Aromen tropischer Früchte wie Maracuja und Papaya dazu. Der Wein eine frische Säure, feine Mineralik und zarten Schmelz und kann locker mit seinen französischen Pendants mithalten."
423,   Weingut Markus Molitor   2020 Pinot Blanc Haus Klosterberg ," Weingut Markus Molitor, Weingut Markus Molitor, Haus Klosterberg, 54470 Bernkastel-Wehlen ", Deutschland , Mosel , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 12.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 8 - 12 , 2028+ ,, Stelvin-Drehverschluß ,,,"Wehlener Klosterberg, fast reine Südlage.","Schieferverwitterung, hoher Eisenanteil.","Spontangärung, Ausbau im großen Holzfaß", Wein Direktimport ,,,,,,,1," Der 2020 Pinot Blanc Haus Klosterberg duftet intensiv nach reifen Aprikosen, Mirabellen, etwas Birne und Birnenschale, ein wenig Vanille und reifen Zitrusfrüchten. Dazu kommen feine Karamel und sehr dezent sahnige Aromen.Am Gaumen ist er ebenso komplex, würzig, er hat einen feinen Schmelz und ist dennoch frisch und lebhaft. Die frische feine Säure ist zart, jedoch bei weitem nicht so ausgeprägt wie bei den Rieslingen. Die feine Schieferwürze gibt dem Wein die tolle, moseltypische Eleganz und ist der perfekte Gegenspieler zur weichen, saftigen Stilistik. Der Holzeinfluß macht sich nur bei der cremigen Struktur bemerkbar. Ganz feine Näschen werden das eine oder andere Holzaroma wahrnehmen, aber eigentlich spielt das keine Rolle. Der Preis ist seit vielen Jahren unverändert (günstig).  "
424,   Weinhaus Heger   2020 Grauburgunder OKTAV ," Weinhaus Heger, Weinhaus Heger OHG Bachenstrasse 19/21 D-79241 Ihringen/Kaiserstuhl ", Deutschland , Baden , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio ", Qualitätswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , 2025+ ,, Stelvin-Drehverschluß ,,,,,,," Fisch vom Grill, Kalbfleisch mit Pilzen, Käse, mittelreif, Ragout vom Kalb ",,,,,,1," Der 2020 Grauburgunder Oktav hat eine saftige, feine Aromatik mit Aromen von gelben Birnen, würzigen Quitten, vollreifen gelbfleischigen Äpfeln und etwas Apfelschale.Am Gaumen startet der Wein sanft mit seidiger Textur, die feine Säure sorgt für die Frische. Dennoch ist entwickelt er feinen Druck, die Harmonie ist perfekt."
425,   Weinhaus Heger   2020 Grauburgunder Liter ," Weinhaus Heger, Weinhaus Heger OHG Bachenstrasse 19/21 D-79241 Ihringen/Kaiserstuhl ", Deutschland , Baden , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio ", Qualitätswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , bis 2024 ,, Stelvin-Drehverschluß ,,,,,,," Apéritif, Fisch, pochiert, Käse, jung ",,,,,,1,
426,   Weingut Markus Molitor   2019 Pinot Blanc Einstern* ," Weingut Markus Molitor, Weingut Markus Molitor, Haus Klosterberg, 54470 Bernkastel-Wehlen ", Deutschland , Mosel , Weißwein ,2019, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 12 , trocken , Enthält Sulfite , großes Holzfaß , 8 - 12 , bis 2030 ,, Naturkork ,,,"Wehlener Klosterberg, fast reine Südlage.","Schieferverwitterung, hoher Eisenanteil.","Spontangärung, Ausbau im großen Holzfaß",,, Abfüller: Weinmanufaktur Markus Molitor ,,,,,1," Der 2019 Einstern* Pinot Blanc ist trotz seine klaren Struktur von einer betörenden Aromenfülle geprägt, er hat intensive Aromen unter anderem von gelben Äpfeln, Weinbergspfirsichen und Aprikosen, gepaart mit Zitruszeste und Orangenblüte.Am Gaumen zeigt sich verhalten der Einfluß vom Ausbau im Holzfaß, die leichte Phenolik und anregende Säure passen bestens zur klaren, gradlinigen und dennoch ungewöhnlich cremigen Frucht. Liebhaber der weißen Burgundersorten, auch die von Chardonnay, werden beim 2019 Einstern* mit einem tollen Geschmackserlebnis belohnt."
427,   Weingut Markus Molitor   2020 Riesling Schiefersteil ," Weingut Markus Molitor, Weingut Markus Molitor, Haus Klosterberg, 54470 Bernkastel-Wehlen ", Deutschland , Mosel , Weißwein ,2020, Weißer Riesling , Qualitätswein , 12.0 , trocken , Enthält Sulfite , großes Holzfaß , 8 - 12 , 2033+ ,, Naturkork ,,,Steillagen mit bis zu 80° Hangneigung,,"Spontangärung, Ausbau im großen Holzfaß"," Robert Parker, Wein Direktimport "," Fisch, Spargel ",,Molitor: Gebratene Forelle mit frischen Böhnchen oder Spargel,,,,1," Der 2020 Riesling ‚Schiefersteil‘ macht seinem Namen alle Ehre. Die Mineralik ist präsenter, die Frucht etwas verhaltener, das ist ein ganz anderer Stil als bei den Basisweinen von Molitor, die mehr von saftiger Frucht geprägt sind. Der 2020 Riesling ‚Schiefersteil‘ startet mit klarer „Steinfrucht“ mit dezenter Raucharomatik, sie erinnert ein wenig an die eines guten Pouilly Fumé. Der Wein ist sehr präzise und klar, die Fruchtaromatik ist etwas verhalten und kaum von phenolischer Würze geprägt wie in 2018 und 2019. Weinbergspfirsich, frische Aprikose, frische Williamsbirne, etwas Zitrone und Orangenzeste, mit Luftkontakt öffnet sich die Frucht und wirkt reifer, bleibt aber sehr frisch, klar und elegant. Am Gaumen eleganter Auftakt, frische Säure, viel reife Frucht, kraftvoll, ein wenig Holzwürze und vor allem wieder die klare Struktur und deutliche Mineralik. Auch der 2020 Schiefersteil bietet wieder unglaublich viel Wein zum günstigen Preis der Vorjahre."
428,   Weingut Metzger   2020 Riesling trocken -C- Liter ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling , Qualitätswein , 11.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , bis 2024+ ,, Stelvin-Drehverschluß , 6.8 , 7.1 ,,,,," Apéritif, Fisch, pochiert, Partywein, Poularde, Spargel ",,,,,,1,
429,"   Manincor, Bioweingut   2020 Terlaner 'Réserve della Contessa' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Weißwein ,2020," Chardonnay, Sauvignon Blanc, Weißer Burgunder/Pinot Blanc/Pinot Bianco ", DOC , 13.0 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß ", 8 - 12 , bis 2024 ,, Naturkork , 6.2 , 0.8 ,,,"Acht Stunden Maischestandzeit, danach Kelterung und spontane Gärung im Holzfaß, 9 Monate Ausbau im Holzfaß",," Fisch, Süßwasser, Geflügel, Käse, frisch, Ziegenmilch, vegetarischen Gerichten ",,, Zertifizierung Demeter ,IT BIO 013,,1," Der 2020 Terlaner 'Réserve della Contessa' hat ein leuchtendes Gelb im Glas. Er duftet sehr fruchtig, Aromen von reifem Apfel und weißen Blüten, im Hintergrund deutliche Mineralik. Am Gaumen ist er frisch, saftig, aromatisch, mit frischer Säure und lang anhaltendem Finish."
430,"   Manincor, Bioweingut   2020 'La Manina' "," Manincor, Bioweingut, St. Josef am See 4, I-39052 Kaltern ", Italien , Südtirol/Alto Adige , Weißwein ,2020," Chardonnay, Sauvignon Blanc, Weißer Burgunder/Pinot Blanc/Pinot Bianco ", DOC , 12.5 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß ", 8 - 12 , bis 2024 ,, Naturkork ,,,,,"Acht Stunden Maischestandzeit, danach Kelterung und spontane Gärung im Holzfaß, 9 Monate Ausbau im Holzfaß",," Fisch, Süßwasser, Krustentieren, Käse, frisch, Ziegenmilch, vegetarischen Gerichten ",,, Zertifizierung Demeter ,IT BIO 013,,1," Der 2020 'La Manina' leuchtet wunderbar gelb im Glas. In der Nase ist er sehr fruchtig mit Aromen von reifem Apfel und weißen Blüten, im Hintergrund deutliche Mineralik. Am Gaumen frischer Auftakt, dann saftig und aromatisch, mit frischer Säure und lang anhaltendem Finish."
431,   Wein Direktimport Probierpaket   Probierpaket Bourgogne Rouge & Blanc ," Wein Direktimport Probierpaket , Die Herstelleradressen finden Sie bei den Artikeln. ", Frankreich , Bourgogne ," Rotwein, Weißwein ",,,,, trocken , Enthält Sulfite ,,,,, Kork ,,,,,,,,,,,,,1,
432,   Markus Schneider   2018 Gewürztraminer Reserve ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Weißwein ,2018, Gewürztraminer , Qualitätswein , 10.0 , fruchtig mit deutlicher Restsüße , Enthält Sulfite , Edelstahltank , 8 - 10 , bis 2024 ,, Kork , 6.7 , 64.0 ,,"Kalkstein, Kalkmergel","Kurzer Maischekontakt, Gärung und Ausbau Edelstahltank.",," Dessertersatz, Stilton, weitere Blauschimmelkäse, Wildterrine ",,,,,,1," Der 2018 Gewürztraminer Reserve, in der Nase fein gereift, mit intensiver Aromatik, Aromen von Rosenblüten, Orangenzeste, Mandarine, Gewürznelke und reife gelbe Früchte. Am Gaumen überraschend elegant, feine Süße im Auftakt, ausladende Aromatik mit dezentem Raucharoma, aber aufgrund der schlanken 10,5 % Alkohol sehr klar und fein."
433,   Cà dei Frati   2020 Brolettino Lugana DOC ," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Weißwein ,2020, Turbiana/Trebbiano di Lugana , DOC , 13.0 , trocken , Enthält Sulfite ," Barriquefaß, Edelstahltank ", 10 - 12 , bis 2028 , etwa 30 Minuten , Naturkork ,,,Die Trauben stammen aus den Weinbergen I Frati - Sirmione und Ronchedone - Desenzano del Garda,Kalkhaltige Lehmböden mit sandiger Auflage,"Gärung im Edelstahl, 10 Monate Ausbau im Barriquefaß", Wein Direktimport ," Fisch, Süßwasser, Geflügel, Gemüse, Pasta, Perlhuhn, Suppe ",,"kräftige Suppe, Gemüse, Pasta mit hellen Saucen, pochiertem Fisch, Brathähnchen, frische und mittelreife Käse",,,,1," In der kraftvollen Nase verbinden sich Aromen von reifem Pfirsich, Melone und gelbem Apfel mit verführerischem Rosenduft, feiner Kräuterwürze und kristallklarer Frische. Am Gaumen setzt er sich mit einem explosiven Auftritt eindrucksvoll in Szene und bietet ein Optimum an Frische und Eleganz. Sein vollmundiger, kraftvoller Charakter wird durch eine straffes Säuregerüst in vibrierender Spannung gehalten und der Gaumen für die Aufnahme des nächsten Schlucks der überaus delikaten, reifen Fruchtaromen geklärt. Unbedingt vorher dekantieren!"
434,   Maison Chapoutier   2020 Saint Péray 'Pic & Chapoutier' ," Maison Chapoutier, 18, avenue Docteur Paul Durand F-26600 Tain l’Hermitage ", Frankreich ," Rhône, nördlicher Bereich ", Weißwein ,2020, Marsanne , AOC , 13.5 , trocken , Enthält Sulfite ," Edelstahltank, 20% Holzfaß ", 10 - 14 , bis 2025 ,, Naturkork ,,,,,, Wein Direktimport ,,,,,,,1,
435,   Domaine de Bila Haut   2017 Collioure Blanc 'Chrysopée' ," Domaine de Bila Haut, 9 Rue Rampe du Sarrat F-66720 Latour-de-France ", Frankreich , Roussillon , Weißwein ,2017," Grenache Blanc, Grenache Gris "," AOC, Premiumwein ", 14 , trocken , Enthält Sulfite , Halbstückfaß , 8 - 12 , 2023+ , etwa 30 Minuten , Kork ,,,,,Edelstahl," Robert Parker, Wein Direktimport ",,,,,,,1," Der Wein aus 90% Grenache Gris und 10% Grenache Blanc hat Aromen von frischen Limetten, gelber Steinfrucht, Süßholz, etwas Vanille, weißem Pfeffer, reifer Birne, Sternfrucht. Am Gaumen ist er leicht salzig, hat etwas Toast, er ist frisch und saftig, zupackend und extrem kraftvoll, dabei aber wunderbar harmonisch. Großartige Länge!   Joe Czerwinski, Wine Advocate, April 2019: „There are only 336 cases of the beautiful 2017 Collioure Chrysopée Blanc, a blend of 90% Grenache Gris and 10% Grenache Blanc that was fermented and aged in demi-muids. It hints at honey, brine, lime and tangerine on the nose, then delivers similar flavors on the medium to full-bodied palate. Plump and custardy/silky in feel, it remains lively and fresh on the long, briny finish.“"
